Prof,RHOB,DT
4147.7336,2.639,65.3531
4147.886,2.654,65.6804
4148.0384,2.6591,65.8639
4148.1908,2.6604,66.5423
4148.3432,2.6531,68.3233
4148.4956,2.6443,70.065
4148.648,2.6361,70.3176
4148.8004,2.6341,68.9933
4148.9528,2.651,66.9752
4149.1052,2.6691,65.8355
4149.2576,2.6707,66.6564
4149.41,2.6631,68.3772
4149.5624,2.649,69.3186
4149.7148,2.6378,69.1596
4149.8672,2.6504,68.4382
4150.0196,2.6738,67.5139
4150.172,2.6812,66.3396
4150.3244,2.6756,64.9417
4150.4768,2.6676,64.0974
4150.6292,2.657,64.3431
4150.7816,2.6458,65.0738
4150.934,2.6338,65.9119
4151.0864,2.6245,66.8219
4151.2388,2.6186,67.544
4151.3912,2.6127,68.1574
4151.5436,2.6069,68.7529
4151.696,2.6008,69.1795
4151.8484,2.595,69.4565
4152.0008,2.5911,69.336
4152.1532,2.5912,68.4639
4152.3056,2.5924,67.1993
4152.458,2.5961,66.1509
4152.6104,2.6043,65.5323
4152.7628,2.6242,65.4179
4152.9152,2.6374,65.9695
4153.0676,2.6322,67.1695
4153.22,2.6287,68.3488
4153.3724,2.6319,68.595
4153.5248,2.6332,67.7312
4153.6772,2.6263,66.3246
4153.8296,2.6217,65.297
4153.982,2.6281,65.3613
4154.1344,2.6354,66.3118
4154.2868,2.635,67.3095
4154.4392,2.6312,68.0469
4154.5916,2.6249,68.7866
4154.744,2.6177,69.5145
4154.8964,2.6108,70.0079
4155.0488,2.6032,70.2958
4155.2012,2.5934,70.4347
4155.3536,2.5855,70.6435
4155.506,2.5883,71.2289
4155.6584,2.5971,71.8654
4155.8108,2.5961,71.8908
4155.9632,2.5866,71.0998
4156.1156,2.5836,69.8041
4156.268,2.5875,68.7013
4156.4204,2.592,68.4699
4156.5728,2.5971,69.1856
4156.7252,2.6029,70.2741
4156.8776,2.609,70.9801
4157.03,2.6094,70.8548
4157.1824,2.6002,70.1541
4157.3348,2.594,69.6862
4157.4872,2.5944,69.9814
4157.6396,2.5976,70.7598
4157.792,2.6075,71.2359
4157.9444,2.6119,70.9457
4158.0968,2.6028,70.1654
4158.2492,2.5991,69.6736
4158.4016,2.6111,70.2816
4158.554,2.6282,72.0144
4158.7064,2.6551,73.8377
4158.8588,2.6727,74.7371
4159.0112,2.6588,74.6594
4159.1636,2.6366,73.998
4159.316,2.6099,73.3114
4159.4684,2.5882,73.3492
4159.6208,2.5843,74.1088
4159.7732,2.5856,74.5486
4159.9256,2.5817,73.9314
4160.078,2.5762,72.5954
4160.2304,2.5744,71.2326
4160.3828,2.5761,70.2595
4160.5352,2.5804,70.0917
4160.6876,2.5866,71.0037
4160.84,2.5931,72.8651
4160.9924,2.598,75.0953
4161.1448,2.5962,76.5933
4161.2972,2.5871,76.6179
4161.4496,2.5724,75.5515
4161.602,2.5545,74.2769
4161.7544,2.55,73.3881
4161.9068,2.5639,72.8205
4162.0592,2.5781,71.6075
4162.2116,2.5925,68.972
4162.364,2.6049,65.3889
4162.5164,2.6142,61.9591
4162.6688,2.6282,59.6378
4162.8212,2.6518,58.8547
4162.9736,2.6658,59.2332
4163.126,2.6572,60.4875
4163.2784,2.6496,62.9058
4163.4308,2.6446,66.0989
4163.5832,2.6421,68.5216
4163.7356,2.6443,68.9188
4163.888,2.6405,67.6333
4164.0404,2.622,66.2785
4164.1928,2.6078,66.0712
4164.3452,2.608,66.7944
4164.4976,2.6114,67.2893
4164.65,2.6195,67.006
4164.8024,2.626,66.646
4164.9548,2.6265,66.5762
4165.1072,2.6274,66.7859
4165.2596,2.6308,67.4397
4165.412,2.633,68.0945
4165.5644,2.6289,68.4636
4165.7168,2.6238,68.6436
4165.8692,2.6204,68.3949
4166.0216,2.6194,67.6264
4166.174,2.6241,66.4468
4166.3264,2.6264,64.9204
4166.4788,2.6179,63.4863
4166.6312,2.6098,62.7627
4166.7836,2.6132,62.7834
4166.936,2.6173,63.3332
4167.0884,2.6105,64.2807
4167.2408,2.6026,65.2187
4167.3932,2.6053,65.9385
4167.5456,2.6129,66.354
4167.698,2.6207,66.0701
4167.8504,2.6251,65.1651
4168.0028,2.6196,64.631
4168.1552,2.6115,65.3162
4168.3076,2.6121,67.0105
4168.46,2.6165,68.9259
4168.6124,2.6162,70.0614
4168.7648,2.6105,69.5155
4168.9172,2.5977,67.5123
4169.0696,2.5825,65.4673
4169.222,2.5767,64.6734
4169.3744,2.5812,65.2115
4169.5268,2.5967,66.3554
4169.6792,2.6176,67.5979
4169.8316,2.6258,68.7044
4169.984,2.6212,69.2235
4170.1364,2.6096,68.8125
4170.2888,2.5912,67.7493
4170.4412,2.5713,66.6394
4170.5936,2.5537,66.028
4170.746,2.5511,66.262
4170.8984,2.5645,67.0632
4171.0508,2.5795,67.7579
4171.2032,2.5944,67.9983
4171.3556,2.601,67.7239
4171.508,2.5971,66.9825
4171.6604,2.5891,66.1968
4171.8128,2.578,65.8064
4171.9652,2.5731,65.6659
4172.1176,2.5765,65.4355
4172.27,2.5796,65.2575
4172.4224,2.5831,65.6784
4172.5748,2.5912,66.8942
4172.7272,2.6051,68.4419
4172.8796,2.616,69.5478
4173.032,2.6198,69.4579
4173.1844,2.6148,68.151
4173.3368,2.5958,66.73
4173.4892,2.5861,66.3661
4173.6416,2.5917,67.1896
4173.794,2.5925,68.5246
4173.9464,2.5844,69.6609
4174.0988,2.5765,70.2607
4174.2512,2.5687,70.2507
4174.4036,2.565,69.6393
4174.556,2.5696,68.7048
4174.7084,2.572,68.0832
4174.8608,2.5695,68.3526
4175.0132,2.5712,69.5417
4175.1656,2.5826,71.0636
4175.318,2.5924,72.1956
4175.4704,2.597,72.8157
4175.6228,2.5972,73.4103
4175.7752,2.5877,74.3368
4175.9276,2.5789,75.5209
4176.08,2.5732,76.469
4176.2324,2.5688,76.2956
4176.3848,2.5662,74.5603
4176.5372,2.5592,72.0447
4176.6896,2.5426,69.9898
4176.842,2.5335,68.9604
4176.9944,2.5468,68.5056
