Facies,Formation,Well Name,Depth,RHOB,DT,CGR,NPHI,PEF,MSFL,LLD
2,Dato_formacion,,4047.066,2.649131,55.520179,65.337881,0.108916,3.18515,20.582618,12.404001
5,Dato_formacion,,4047.2184,2.654121,54.934685,55.971192,0.106939,3.146652,25.305712,15.29768
5,Dato_formacion,,4047.3708,2.658245,54.469533,50.089626,0.103284,3.173407,29.369557,17.763103
5,Dato_formacion,,4047.5232,2.660644,54.052052,48.154272,0.096931,3.304269,30.979123,18.724815
5,Dato_formacion,,4047.6756,2.662829,53.557103,46.498373,0.089365,3.470726,32.537636,19.621298
3,Dato_formacion,,4047.828,2.66072,53.107776,40.342708,0.082229,3.678309,39.360558,23.724042
3,Dato_formacion,,4047.9804,2.652317,52.826288,35.445477,0.079284,3.868259,46.838716,28.223334
3,Dato_formacion,,4048.1328,2.640166,52.833515,34.457454,0.081404,3.985813,48.702843,29.318298
3,Dato_formacion,,4048.2852,2.6299,53.150175,34.280588,0.084453,4.053397,49.081287,29.532987
3,Dato_formacion,,4048.4376,2.622338,53.670146,34.026351,0.08649,4.108913,49.676455,29.857865
3,Dato_formacion,,4048.59,2.609924,54.131742,35.465773,0.090051,4.198297,46.81658,28.208275
3,Dato_formacion,,4048.7424,2.601119,54.371556,36.355642,0.095436,4.184344,44.599542,27.185815
3,Dato_formacion,,4048.8948,2.60079,54.382008,36.355642,0.095627,4.184033,44.598529,27.187366
3,Dato_formacion,,4049.0472,2.602889,54.251675,32.818789,0.093657,4.199884,51.466267,31.232293
3,Dato_formacion,,4049.1996,2.601651,54.050737,32.582062,0.093592,4.21961,52.008287,31.568455
3,Dato_formacion,,4049.352,2.608347,53.765626,32.946204,0.093701,4.118212,50.521497,30.987807
3,Dato_formacion,,4049.5044,2.620833,53.34571,31.039754,0.0922,3.971831,55.850358,33.763953
3,Dato_formacion,,4049.6568,2.632302,52.846869,31.039543,0.092208,3.804501,55.846796,33.764264
5,Dato_formacion,,4049.8092,2.64437,52.392653,29.802968,0.089455,3.70159,59.110719,35.697443
5,Dato_formacion,,4049.9616,2.65437,52.016429,29.777314,0.083774,3.709198,59.207448,35.738898
3,Dato_formacion,,4050.114,2.657334,51.77857,28.599891,0.077536,3.830457,62.458881,37.753275
3,Dato_formacion,,4050.2664,2.656734,51.628713,28.763108,0.074797,3.912151,61.860545,37.40034
3,Dato_formacion,,4050.4188,2.660101,51.459218,29.831562,0.071925,3.941768,58.917031,35.591409
3,Dato_formacion,,4050.5712,2.656165,51.237095,27.681665,0.072416,3.981816,65.560715,39.515563
3,Dato_formacion,,4050.7236,2.651626,51.111657,27.681666,0.073449,4.019972,65.549738,39.468314
3,Dato_formacion,,4050.876,2.652258,50.771043,27.348005,0.078048,3.887783,66.658531,40.198554
3,Dato_formacion,,4051.0284,2.657814,50.575064,28.700876,0.077563,3.823015,62.426983,37.585754
3,Dato_formacion,,4051.1808,2.671529,50.517067,28.055508,0.070581,3.810332,64.449775,38.823436
3,Dato_formacion,,4051.3332,2.679863,50.612768,27.660754,0.064694,3.846,64.908435,39.418939
4,Dato_formacion,,4051.4856,2.68573,50.669836,29.064548,0.056782,3.97289,61.248049,36.900723
4,Dato_formacion,,4051.638,2.688428,50.600398,27.615236,0.048495,4.149608,64.827142,39.353912
4,Dato_formacion,,4051.7904,2.688999,50.717479,24.625287,0.044797,4.232694,77.044166,46.445018
